Filter, ID, Time_us, Average_time
10, 1, 358, 0
0, 2, 79, 0
0, 3, 77, 0
0, 4, 88, 0
0, 5, 166, 0
0, 6, 187, 0
0, 7, 86, 0
0, 8, 75, 0
0, 9, 79, 0
0, 10, 73, 0
0, 11, 72, 0
0, 12, 78, 0
0, 13, 74, 0
0, 14, 209, 0
0, 15, 206, 0
0, 16, 249, 0
0, 17, 212, 0
0, 18, 204, 0
0, 19, 196, 0
0, 20, 198, 0
0, 21, 200, 0
0, 22, 212, 0
0, 23, 198, 0
0, 24, 198, 0
0, 25, 185, 0
0, 26, 197, 0
0, 27, 186, 0
0, 28, 211, 0
0, 29, 194, 0
0, 30, 190, 0
0, 31, 193, 0
0, 32, 211, 0
0, 33, 188, 0
0, 34, 202, 0
0, 35, 192, 0
0, 36, 228, 0
0, 37, 184, 0
0, 38, 201, 0
0, 39, 172, 0
0, 40, 458, 0
0, 41, 257, 0
0, 42, 112, 0
0, 43, 75, 0
0, 44, 70, 0
0, 45, 73, 0
0, 46, 71, 0
0, 47, 75, 0
0, 48, 70, 0
0, 49, 77, 0
0, 50, 77, 0
0, 51, 74, 0
0, 52, 74, 0
0, 53, 71, 0
0, 54, 70, 0
0, 55, 119, 0
0, 56, 76, 0
0, 57, 75, 0
0, 58, 116, 0
0, 59, 88, 0
0, 60, 76, 0
0, 0, 0, 149
20, 1, 151, 0
0, 2, 109, 0
0, 3, 108, 0
0, 4, 113, 0
0, 5, 102, 0
0, 6, 105, 0
0, 7, 113, 0
0, 8, 112, 0
0, 9, 112, 0
0, 10, 110, 0
0, 11, 110, 0
0, 12, 113, 0
0, 13, 107, 0
0, 14, 109, 0
0, 15, 109, 0
0, 16, 105, 0
0, 17, 108, 0
0, 18, 112, 0
0, 19, 110, 0
0, 20, 110, 0
0, 21, 108, 0
0, 22, 108, 0
0, 23, 111, 0
0, 24, 101, 0
0, 25, 108, 0
0, 26, 109, 0
0, 27, 105, 0
0, 28, 109, 0
0, 29, 106, 0
0, 30, 110, 0
0, 31, 104, 0
0, 32, 107, 0
0, 33, 111, 0
0, 34, 105, 0
0, 35, 108, 0
0, 36, 108, 0
0, 37, 107, 0
0, 38, 167, 0
0, 39, 111, 0
0, 40, 135, 0
0, 41, 128, 0
0, 42, 107, 0
0, 43, 114, 0
0, 44, 110, 0
0, 45, 108, 0
0, 46, 112, 0
0, 47, 106, 0
0, 48, 106, 0
0, 49, 110, 0
0, 50, 104, 0
0, 51, 111, 0
0, 52, 120, 0
0, 53, 108, 0
0, 54, 109, 0
0, 55, 106, 0
0, 56, 112, 0
0, 57, 107, 0
0, 58, 114, 0
0, 59, 116, 0
0, 60, 107, 0
0, 0, 0, 111
30, 1, 172, 0
0, 2, 145, 0
0, 3, 146, 0
0, 4, 274, 0
0, 5, 280, 0
0, 6, 274, 0
0, 7, 320, 0
0, 8, 287, 0
0, 9, 275, 0
0, 10, 384, 0
0, 11, 304, 0
0, 12, 268, 0
0, 13, 265, 0
0, 14, 251, 0
0, 15, 263, 0
0, 16, 258, 0
0, 17, 255, 0
0, 18, 248, 0
0, 19, 254, 0
0, 20, 254, 0
0, 21, 267, 0
0, 22, 240, 0
