Filter, ID, Time_us, Average_time
10, 1, 4795, 0
0, 2, 2264, 0
0, 3, 2329, 0
0, 4, 2705, 0
0, 5, 1988, 0
0, 6, 1811, 0
0, 7, 1866, 0
0, 8, 1861, 0
0, 9, 1906, 0
0, 10, 1841, 0
0, 11, 1985, 0
0, 12, 2129, 0
0, 13, 2416, 0
0, 14, 2680, 0
0, 15, 1916, 0
0, 16, 1965, 0
0, 17, 2114, 0
0, 18, 2293, 0
0, 19, 2422, 0
0, 20, 2681, 0
0, 21, 2532, 0
0, 22, 1985, 0
0, 23, 2071, 0
0, 24, 2241, 0
0, 25, 2542, 0
0, 26, 2953, 0
0, 27, 3068, 0
0, 28, 2909, 0
0, 29, 2284, 0
0, 30, 1888, 0
0, 31, 2149, 0
0, 32, 2110, 0
0, 33, 2812, 0
0, 34, 2937, 0
0, 35, 2702, 0
0, 36, 3383, 0
0, 37, 4187, 0
0, 38, 3743, 0
0, 39, 2987, 0
0, 40, 2315, 0
0, 41, 1882, 0
0, 42, 1732, 0
0, 43, 1920, 0
0, 44, 1816, 0
0, 45, 1883, 0
0, 46, 1898, 0
0, 47, 2524, 0
0, 48, 2937, 0
0, 49, 3476, 0
0, 50, 5838, 0
0, 51, 6142, 0
0, 52, 6706, 0
0, 53, 9141, 0
0, 54, 8174, 0
0, 55, 7354, 0
0, 56, 7590, 0
0, 57, 10065, 0
0, 58, 10210, 0
0, 59, 9288, 0
0, 60, 5918, 0
0, 0, 0, 3437
20, 1, 9004, 0
0, 2, 10387, 0
0, 3, 8117, 0
0, 4, 7644, 0
0, 5, 10181, 0
0, 6, 9043, 0
0, 7, 5727, 0
0, 8, 6665, 0
0, 9, 6281, 0
0, 10, 6151, 0
0, 11, 3566, 0
0, 12, 3365, 0
0, 13, 5454, 0
0, 14, 8986, 0
0, 15, 9972, 0
0, 16, 7084, 0
0, 17, 7521, 0
0, 18, 8397, 0
0, 19, 7651, 0
0, 20, 6837, 0
0, 21, 9835, 0
0, 22, 5908, 0
0, 23, 3551, 0
0, 24, 2480, 0
0, 25, 2569, 0
0, 26, 3452, 0
0, 27, 4815, 0
0, 28, 7333, 0
0, 29, 10187, 0
0, 30, 9224, 0
0, 31, 5051, 0
0, 32, 3094, 0
0, 33, 2647, 0
0, 34, 3605, 0
0, 35, 5084, 0
0, 36, 3748, 0
0, 37, 3232, 0
0, 38, 2627, 0
0, 39, 2446, 0
0, 40, 3134, 0
0, 41, 4436, 0
0, 42, 2842, 0
0, 43, 2465, 0
0, 44, 2749, 0
0, 45, 3334, 0
0, 46, 3499, 0
0, 47, 2672, 0
0, 48, 3029, 0
0, 49, 3800, 0
0, 50, 4784, 0
0, 51, 3804, 0
0, 52, 2814, 0
0, 53, 2494, 0
0, 54, 2690, 0
0, 55, 3620, 0
0, 56, 4087, 0
0, 57, 5488, 0
0, 58, 7876, 0
0, 59, 9845, 0
0, 60, 7764, 0
0, 0, 0, 5435
30, 1, 4511, 0
0, 2, 3135, 0
0, 3, 2845, 0
0, 4, 3758, 0
0, 5, 3882, 0
0, 6, 2590, 0
0, 7, 2122, 0
0, 8, 2347, 0
0, 9, 2356, 0
0, 10, 3665, 0
0, 11, 4296, 0
0, 12, 5289, 0
0, 13, 5069, 0
0, 14, 7757, 0
0, 15, 6748, 0
0, 16, 9534, 0
0, 17, 9116, 0
0, 18, 9436, 0
0, 19, 9927, 0
0, 20, 6640, 0
0, 21, 3576, 0
0, 22, 2606, 0
0, 23, 3302, 0
0, 24, 6273, 0
0, 25, 11589, 0
0, 26, 11169, 0
0, 27, 10200, 0
0, 28, 10252, 0
0, 29, 8532, 0
0, 30, 4307, 0
0, 31, 2636, 0
0, 32, 1956, 0
0, 33, 1884, 0
0, 34, 1987, 0
0, 35, 2455, 0
0, 36, 3968, 0
0, 37, 4901, 0
0, 38, 4971, 0
0, 39, 3676, 0
0, 40, 2498, 0
0, 41, 2118, 0
0, 42, 1975, 0
0, 43, 2202, 0
0, 44, 3120, 0
0, 45, 2373, 0
0, 46, 2332, 0
0, 47, 1955, 0
0, 48, 1943, 0
0, 49, 3016, 0
0, 50, 1983, 0
0, 51, 1913, 0
0, 52, 2222, 0
0, 53, 2095, 0
0, 54, 2180, 0
0, 55, 2188, 0
0, 56, 2099, 0
0, 57, 2192, 0
0, 58, 3053, 0
0, 59, 2166, 0
0, 60, 2115, 0
0, 0, 0, 4216
40, 1, 2209, 0
0, 2, 2171, 0
0, 3, 2581, 0
0, 4, 2188, 0
0, 5, 2224, 0
0, 6, 2188, 0
0, 7, 2850, 0
0, 8, 2154, 0
0, 9, 2001, 0
0, 10, 1930, 0
0, 11, 1939, 0
0, 12, 3020, 0
0, 13, 2216, 0
0, 14, 2570, 0
0, 15, 2697, 0
0, 16, 2132, 0
0, 17, 2066, 0
0, 18, 2268, 0
0, 19, 2321, 0
0, 20, 2179, 0
0, 21, 2531, 0
0, 22, 4038, 0
0, 23, 4171, 0
0, 24, 4079, 0
0, 25, 2378, 0
0, 26, 2168, 0
0, 27, 2094, 0
0, 28, 2406, 0
0, 29, 2400, 0
0, 30, 3366, 0
0, 31, 2988, 0
0, 32, 3350, 0
0, 33, 2870, 0
0, 34, 2298, 0
0, 35, 2408, 0
0, 36, 2156, 0
0, 37, 3311, 0
0, 38, 2473, 0
0, 39, 2958, 0
0, 40, 4383, 0
0, 41, 3440, 0
0, 42, 4673, 0
0, 43, 4580, 0
0, 44, 3968, 0
0, 45, 3788, 0
0, 46, 4215, 0
0, 47, 5276, 0
0, 48, 5790, 0
0, 49, 3917, 0
0, 50, 3901, 0
0, 51, 5747, 0
0, 52, 8022, 0
0, 53, 6439, 0
0, 54, 7427, 0
0, 55, 9867, 0
0, 56, 8904, 0
0, 57, 5188, 0
0, 58, 4311, 0
0, 59, 9322, 0
0, 60, 10297, 0
0, 0, 0, 3730
50, 1, 9393, 0
0, 2, 5428, 0
0, 3, 5175, 0
0, 4, 4400, 0
0, 5, 3691, 0
0, 6, 4940, 0
0, 7, 7726, 0
0, 8, 10017, 0
0, 9, 8033, 0
0, 10, 7311, 0
0, 11, 8362, 0
0, 12, 4726, 0
0, 13, 4511, 0
0, 14, 5917, 0
0, 15, 4945, 0
0, 16, 4671, 0
0, 17, 2964, 0
0, 18, 2210, 0
0, 19, 2040, 0
0, 20, 2066, 0
0, 21, 2883, 0
0, 22, 2359, 0
0, 23, 2997, 0
0, 24, 2847, 0
