Filter, ID, Time_us, Average_time
10, 1, 5297, 0
0, 2, 2450, 0
0, 3, 2012, 0
0, 4, 2110, 0
0, 5, 1986, 0
0, 6, 2013, 0
0, 7, 2013, 0
0, 8, 2126, 0
0, 9, 2003, 0
0, 10, 3020, 0
0, 11, 2185, 0
0, 12, 2378, 0
0, 13, 2759, 0
0, 14, 3043, 0
0, 15, 3889, 0
0, 16, 5973, 0
0, 17, 5242, 0
0, 18, 3574, 0
0, 19, 2716, 0
0, 20, 2233, 0
0, 21, 1948, 0
0, 22, 2315, 0
0, 23, 2083, 0
0, 24, 1996, 0
0, 25, 2043, 0
0, 26, 2129, 0
0, 27, 2120, 0
0, 28, 2618, 0
0, 29, 3322, 0
0, 30, 3737, 0
0, 31, 5697, 0
0, 32, 5669, 0
0, 33, 8155, 0
0, 34, 7847, 0
0, 35, 6953, 0
0, 36, 6129, 0
0, 37, 9423, 0
0, 38, 5643, 0
0, 39, 5337, 0
0, 40, 3341, 0
0, 41, 2278, 0
0, 42, 2025, 0
0, 43, 1981, 0
0, 44, 2225, 0
0, 45, 2668, 0
0, 46, 2902, 0
0, 47, 4258, 0
0, 48, 3219, 0
0, 49, 2442, 0
0, 50, 2226, 0
0, 51, 2482, 0
0, 52, 3130, 0
0, 53, 3898, 0
0, 54, 5936, 0
0, 55, 4454, 0
0, 56, 3050, 0
0, 57, 2852, 0
0, 58, 3639, 0
0, 59, 4844, 0
0, 60, 2692, 0
0, 0, 0, 3512
20, 1, 3595, 0
0, 2, 2883, 0
0, 3, 2662, 0
0, 4, 3480, 0
0, 5, 3326, 0
0, 6, 3589, 0
0, 7, 3144, 0
0, 8, 3254, 0
0, 9, 2656, 0
0, 10, 2583, 0
0, 11, 2900, 0
0, 12, 5474, 0
0, 13, 4897, 0
0, 14, 3807, 0
0, 15, 4465, 0
0, 16, 6409, 0
0, 17, 6676, 0
0, 18, 4299, 0
0, 19, 5316, 0
0, 20, 5154, 0
0, 21, 3467, 0
0, 22, 2912, 0
0, 23, 3556, 0
0, 24, 3715, 0
0, 25, 2765, 0
0, 26, 2093, 0
0, 27, 2180, 0
0, 28, 2123, 0
