Filter, ID, Time_us, Average_time
10, 1, 38140, 0
0, 2, 29690, 0
0, 3, 29567, 0
0, 4, 29705, 0
0, 5, 29494, 0
0, 6, 29168, 0
0, 7, 29912, 0
0, 8, 29710, 0
0, 9, 28474, 0
0, 10, 30169, 0
0, 11, 29457, 0
0, 12, 28637, 0
0, 13, 28255, 0
0, 14, 30701, 0
0, 15, 29785, 0
0, 16, 29350, 0
0, 17, 28621, 0
0, 18, 28229, 0
0, 19, 28493, 0
0, 20, 29230, 0
0, 21, 29178, 0
0, 22, 30397, 0
0, 23, 32842, 0
0, 24, 28347, 0
0, 25, 30059, 0
0, 26, 28150, 0
0, 27, 28789, 0
0, 28, 28294, 0
0, 29, 28420, 0
0, 30, 29226, 0
0, 31, 30969, 0
0, 32, 28517, 0
0, 33, 28818, 0
0, 34, 28846, 0
0, 35, 29183, 0
0, 36, 28649, 0
0, 37, 28551, 0
0, 38, 28750, 0
0, 39, 28607, 0
0, 40, 29119, 0
0, 41, 28534, 0
0, 42, 28620, 0
0, 43, 28653, 0
0, 44, 29254, 0
0, 45, 29534, 0
0, 46, 28756, 0
0, 47, 28818, 0
0, 48, 28963, 0
0, 49, 29133, 0
0, 50, 29752, 0
0, 51, 31325, 0
0, 52, 29133, 0
0, 53, 31159, 0
0, 54, 31147, 0
0, 55, 31696, 0
0, 56, 28694, 0
0, 57, 28950, 0
0, 58, 28665, 0
0, 59, 29486, 0
0, 60, 29156, 0
0, 0, 0, 29465
20, 1, 30067, 0
0, 2, 30613, 0
0, 3, 29837, 0
0, 4, 30316, 0
0, 5, 29948, 0
0, 6, 29839, 0
0, 7, 30488, 0
0, 8, 29479, 0
0, 9, 30189, 0
0, 10, 29857, 0
0, 11, 29896, 0
0, 12, 29768, 0
0, 13, 29415, 0
0, 14, 30757, 0
0, 15, 29947, 0
0, 16, 29731, 0
0, 17, 30870, 0
0, 18, 30286, 0
0, 19, 30807, 0
0, 20, 30947, 0
0, 21, 29377, 0
0, 22, 29563, 0
0, 23, 29422, 0
0, 24, 30428, 0
0, 25, 29523, 0
0, 26, 29433, 0
0, 27, 29262, 0
0, 28, 29633, 0
0, 29, 30202, 0
0, 30, 38916, 0
0, 31, 30659, 0
0, 32, 29351, 0
0, 33, 29009, 0
0, 34, 29494, 0
0, 35, 29064, 0
0, 36, 29314, 0
0, 37, 29246, 0
0, 38, 29064, 0
0, 39, 30114, 0
0, 40, 28838, 0
0, 41, 28859, 0
0, 42, 28966, 0
0, 43, 29106, 0
0, 44, 29601, 0
0, 45, 28843, 0
0, 46, 28961, 0
0, 47, 29294, 0
0, 48, 29263, 0
0, 49, 29299, 0
0, 50, 28877, 0
0, 51, 29753, 0
0, 52, 29521, 0
0, 53, 29887, 0
0, 54, 29856, 0
0, 55, 29372, 0
0, 56, 29851, 0
0, 57, 30616, 0
0, 58, 30498, 0
0, 59, 33492, 0
0, 60, 29231, 0
0, 0, 0, 29935
30, 1, 29894, 0
0, 2, 29429, 0
0, 3, 29950, 0
0, 4, 29709, 0
0, 5, 29013, 0
0, 6, 29906, 0
0, 7, 29855, 0
0, 8, 29875, 0
0, 9, 29277, 0
0, 10, 29096, 0
0, 11, 29100, 0
0, 12, 30375, 0
0, 13, 29255, 0
0, 14, 29655, 0
0, 15, 28999, 0
0, 16, 28854, 0
0, 17, 28609, 0
0, 18, 34474, 0
0, 19, 28833, 0
0, 20, 28582, 0
0, 21, 30519, 0
0, 22, 28861, 0
0, 23, 29929, 0
0, 24, 29547, 0
0, 25, 30349, 0
0, 26, 29577, 0
0, 27, 29650, 0
0, 28, 33171, 0
0, 29, 29768, 0
0, 30, 29063, 0
0, 31, 30685, 0
0, 32, 28794, 0
0, 33, 29712, 0
0, 34, 28817, 0
0, 35, 29286, 0
0, 36, 29193, 0
0, 37, 29378, 0
0, 38, 30437, 0
0, 39, 29166, 0
0, 40, 29421, 0
0, 41, 35236, 0
0, 42, 29729, 0
0, 43, 30556, 0
0, 44, 33917, 0
0, 45, 29577, 0
0, 46, 29664, 0
0, 47, 30063, 0
0, 48, 29946, 0
0, 49, 29600, 0
0, 50, 29439, 0
0, 51, 29419, 0
0, 52, 29984, 0
0, 53, 29846, 0
0, 54, 29861, 0
0, 55, 28752, 0
0, 56, 30501, 0
0, 57, 29715, 0
0, 58, 30237, 0
0, 59, 29726, 0
0, 60, 29832, 0
0, 0, 0, 29894
40, 1, 30494, 0
0, 2, 30060, 0
0, 3, 30226, 0
0, 4, 30293, 0
0, 5, 30017, 0
0, 6, 29857, 0
0, 7, 30180, 0
0, 8, 29777, 0
0, 9, 29587, 0
0, 10, 29532, 0
0, 11, 30238, 0
0, 12, 30141, 0
0, 13, 29648, 0
0, 14, 29963, 0
0, 15, 29912, 0
0, 16, 31280, 0
0, 17, 30854, 0
0, 18, 30695, 0
0, 19, 29363, 0
0, 20, 29215, 0
0, 21, 30231, 0
0, 22, 29905, 0
0, 23, 29299, 0
0, 24, 29535, 0
0, 25, 29519, 0
0, 26, 30942, 0
0, 27, 29787, 0
0, 28, 29417, 0
0, 29, 29308, 0
0, 30, 28942, 0
0, 31, 32771, 0
0, 32, 38407, 0
0, 33, 29363, 0
0, 34, 29950, 0
0, 35, 29569, 0
0, 36, 29654, 0
0, 37, 29840, 0
0, 38, 30588, 0
0, 39, 29270, 0
0, 40, 29972, 0
0, 41, 29531, 0
0, 42, 29936, 0
0, 43, 30530, 0
0, 44, 30885, 0
0, 45, 30851, 0
0, 46, 29938, 0
0, 47, 30161, 0
0, 48, 29671, 0
0, 49, 29958, 0
0, 50, 29676, 0
